證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3543","州巧","51042","1172813","23.00","23.20","22.85","23.10","0.0000","45"
"3545","敦泰","1513954","130760795","87.50","88.50","85.50","85.70","-0.6000","1250"
"3550","聯穎","2792036","67705927","24.80","25.05","23.80","23.95","-0.8500","1920"
"3557","嘉威","117277","8541965","73.00","73.20","72.20","72.90","0.1000","119"
"3563","牧德","757231","273419719","364.50","376.00","348.00","351.00","-12.0000","1054"
"3576","聯合再生","3808662","42411598","11.30","11.30","11.05","11.05","-0.1500","1728"
"3583","辛耘","8478965","4161617043","499.50","509.00","480.00","480.50","-12.0000","9258"
"3588","通嘉","1626181","141543146","88.80","88.80","85.50","85.80","-2.6000","2135"
"3591","艾笛森","6534111","177942706","28.30","28.35","26.55","26.90","-1.2000","3886"
"3592","瑞鼎","288906","103669147","361.00","363.00","355.00","356.00","-4.0000","498"
"3593","力銘","281418","3922877","14.25","14.25","13.80","13.80","-0.4500","214"
"3596","智易","784000","121466682","156.50","156.50","153.50","154.50","-1.5000","942"
"3605","宏致","3532619","206587943","59.10","59.20","58.00","58.40","-0.4000","3016"
"3607","谷崧","697797","14422287","20.85","20.90","20.40","20.75","0.0500","362"
"3617","碩天","529070","158014883","298.00","302.50","293.00","298.00","3.5000","1709"
"3622","洋華","633441","39456593","62.90","63.10","61.80","62.40","-0.3000","532"
"3645","達邁","689505","31438332","46.10","46.10","45.35","45.55","0.1000","482"
"3652","精聯","3970235","171523250","44.50","44.55","42.10","43.15","-0.1500","2572"
"3653","健策","903184","1361902820","1495.00","1555.00","1485.00","1485.00","-5.0000","1180"
"3661","世芯-KY","1732199","3283270475","1930.00","1930.00","1875.00","1880.00","-30.0000","9735"
"3665","貿聯-KY","3462236","1644458680","470.00","484.50","460.50","471.00","6.0000","3687"
"3669","圓展","76598","3446828","45.00","45.45","44.80","44.90","-0.5500","116"
"3673","TPK-KY","2826287","119507675","43.10","43.10","41.75","41.75","-1.0500","2662"
"3679","新至陞","32444","4322669","132.50","134.00","132.50","133.50","0.5000","45"
"3686","達能","409788","8792009","22.20","22.20","21.15","21.25","-0.5500","282"
"3694","海華","319568","13953557","44.70","44.70","43.25","43.25","-1.0500","481"
"3701","大眾控","186072","7224532","39.75","39.75","38.40","38.60","-0.4500","178"
"3702","大聯大","5499913","435019432","78.60","80.90","78.00","78.00","0.5000","4470"
"3702A","大聯大甲特","159898","8128063","50.80","50.90","50.80","50.90","0.1000","54"
"3703","欣陸","2653643","76206883","29.00","29.10","28.60","28.60","-0.4000","1763"
"3704","合勤控","537037","19346307","36.50","36.60","35.70","35.75","-0.5500","782"
"3705","永信","335362","19074835","57.30","57.30","56.50","56.70","-0.1000","277"
"3706","神達","6266582","294095587","47.65","47.65","46.40","46.75","-0.3500","4836"
"3708","上緯投控","393939","44551160","114.00","114.00","112.50","113.00","-1.0000","421"
"3711","日月光投控","35763630","5939126513","173.00","173.00","161.00","163.50","-2.0000","21378"
"3712","永崴投控","863113","44588321","52.30","52.40","51.10","51.10","-0.9000","613"
"3714","富采","8324735","395353612","46.85","48.40","46.25","47.35","0.7000","5661"
"3715","定穎投控","5536411","388218377","71.50","71.70","69.50","69.50","-1.6000","5074"
"3716","中化控股","195584","7567042","38.80","39.00","38.45","38.65","-0.1000","242"
"4104","佳醫","126242","11110191","88.00","88.30","87.80","87.80","-0.2000","266"
"4106","雃博","56180","1423039","25.30","25.45","25.20","25.45","0.1500","232"
"4108","懷特","106589","1884031","17.70","17.75","17.65","17.75","0.1500","142"
"4119","旭富","88841","7954353","90.20","90.20","89.20","89.70","-0.5000","296"
"4133","亞諾法","55781","1670225","29.95","30.00","29.85","29.85","-0.0500","92"
"4137","麗豐-KY","307915","45482807","146.50","150.00","144.50","148.00","1.5000","341"
"4142","國光生","339102","8703321","25.70","25.80","25.55","25.65","0.0000","253"
"4148","全宇生技-KY","16000","719900","44.70","45.20","44.70","45.05","0.3500","14"
"4155","訊映","153292","3793922","24.90","24.95","24.65","24.80","0.0000","190"
"4164","承業醫","396213","18129278","46.55","46.70","45.15","45.35","-1.1000","545"
"4190","佐登-KY","1402186","78144595","53.50","57.30","52.40","56.20","4.1000","1067"
"4306","炎洲","1304404","24703470","18.95","19.10","18.75","18.80","-0.0500","807"
"4414","如興","574759","1730448","3.04","3.04","3.00","3.01","-0.0300","134"
"4426","利勤","135025","1789607","13.40","13.40","13.15","13.30","0.0000","75"
"4438","廣越","30157","3166969","105.50","105.50","104.50","104.50","0.5000","39"
"4439","冠星-KY","7458","676515","90.80","90.90","90.60","90.70","0.1000","25"
"4440","宜新實業","177086","4860635","27.75","27.75","27.25","27.30","-0.4500","188"
"4526","東台","6649937","218648529","33.15","33.75","32.05","33.75","0.7000","4152"
"4532","瑞智","1074710","29970544","28.30","28.30","27.65","28.00","0.0500","886"
"4536","拓凱","157899","33667955","210.00","215.00","210.00","214.50","3.0000","309"
"4540","全球傳動","10822369","477239445","45.80","45.90","42.80","44.85","2.1000","7666"
"4545","銘鈺","2231067","133386938","60.00","61.10","58.60","59.20","-1.4000","1717"
"4551","智伸科","555089","77391736","140.00","141.00","137.50","138.50","0.5000","552"
"4552","力達-KY","177921","4928319","27.65","27.90","27.55","27.75","0.1000","150"
"4555","氣立","792832","35092778","45.10","45.50","43.55","43.65","-1.1000","785"
"4557","永新-KY","165428","21229878","130.00","130.00","127.00","127.50","-1.0000","214"
"4560","強信-KY","71000","2327550","32.95","32.95","32.60","32.80","-0.1000","30"
"4562","穎漢","62988493","4657041751","73.50","78.00","68.50","69.80","-2.0000","35581"
"4564","元翎","305803","7070064","23.30","23.30","22.95","23.00","-0.2500","394"
"4566","時碩工業","34794710","3325040104","95.50","99.60","91.50","92.60","-2.3000","23730"
"4569","六方科-KY","318871","68535444","222.50","222.50","208.50","213.00","-6.0000","634"
"4571","鈞興-KY","2025294","337306173","161.00","173.50","158.50","167.50","7.0000","1805"
"4572","駐龍","70896","10792243","155.00","155.00","151.50","151.50","-2.5000","95"
"4576","大銀微系統","18889015","2467841626","123.50","135.50","120.50","135.50","12.0000","11829"
"4581","光隆精密-KY","131422","6876155","53.50","53.50","51.10","53.20","-1.2000","81"
"4583","台灣精銳","2780088","2218592934","791.00","822.00","768.00","822.00","45.0000","4811"
"4588","玖鼎電力","75364","6457025","86.40","86.70","85.10","85.10","-1.2000","129"
"4720","德淵","562680","11393740","20.25","20.35","20.10","20.20","0.0000","223"
"4722","國精化","86695","3750717","43.25","43.50","43.10","43.10","-0.1000","97"
"4736","泰博","346129","55679836","159.50","162.00","158.50","161.50","3.0000","390"
"4737","華廣","68550","4715948","68.00","69.20","68.00","69.00","1.3000","59"
"4739","康普","234949","13541870","58.60","58.60","57.20","57.20","-0.8000","342"
"4746","台耀","334765","30711489","92.20","92.60","91.20","91.30","-0.8000","322"
"4755","三福化","286935","36603387","128.00","129.00","126.00","126.00","0.5000","341"
"4763","材料-KY","1864574","1617715800","878.00","884.00","863.00","864.00","-16.0000","8992"
"4764","雙鍵","49703","2362433","46.95","48.10","46.90","47.70","0.7500","58"
"4766","南寶","277127","82588711","300.00","302.00","296.50","296.50","-3.5000","470"
"4770","上品","317119","106559929","344.50","345.50","330.50","332.00","-10.0000","599"
"4771","望隼","68233","14702374","216.00","218.50","214.00","214.50","-1.5000","118"
"4807","日成-KY","563082","16182642","29.65","29.65","28.00","28.85","-0.8500","441"
"4904","遠傳","3729843","332366830","88.50","89.70","88.10","89.20","1.1000","2731"
"4906","正文","2706693","98528298","36.75","36.75","36.20","36.35","-0.3500","1882"
"4912","聯德控股-KY","117268","11554329","99.40","100.00","97.80","98.30","-0.4000","149"
"4915","致伸","1102842","102110877","92.60","93.40","91.90","92.50","0.0000","1040"
"4916","事欣科","318566","9029918","28.40","28.65","28.20","28.25","-0.1500","210"
"4919","新唐","2299328","193627552","86.10","86.40","83.00","83.20","-2.4000","2231"
"4927","泰鼎-KY","1755404","89201517","52.00","52.20","49.95","51.10","-0.6000","1031"
"4930","燦星網","77185","2658720","34.45","34.70","34.30","34.40","-0.0500","102"
"4934","太極","381888","6266206","16.65","16.65","16.25","16.35","-0.2500","277"
"4935","茂林-KY","561992","40459379","73.40","73.50","71.10","71.10","-1.8000","588"
"4938","和碩","4251837","444691330","105.00","106.00","104.00","104.00","-1.0000","2472"
"4942","嘉彰","78112","3355633","42.85","43.20","42.85","43.00","0.0000","60"
"4943","康控-KY","14444","241513","17.60","17.60","16.25","16.80","0.0500","24"
"4949","有成精密","77303","1787196","23.15","23.30","23.00","23.10","0.0500","51"
"4952","凌通","249308","13250792","53.70","53.70","52.70","52.70","-0.6000","265"
"4956","光鋐","6008530","251175225","41.75","42.80","40.85","42.80","1.1500","3811"
"4958","臻鼎-KY","7259340","820009549","114.00","114.50","112.00","112.00","-1.5000","4590"
"4960","誠美材","1792899","23224911","13.10","13.20","12.85","12.95","-0.1500","778"
"4961","天鈺","761797","209828398","279.00","279.50","272.00","272.50","-4.5000","3553"
"4967","十銓","1498055","137797202","94.00","94.00","90.90","91.10","-1.8000","1410"
"4968","立積","3772296","694924295","193.00","194.50","178.50","179.50","-13.5000","4408"
"4976","佳凌","634302","26051650","42.10","42.20","40.45","40.60","-1.2500","519"
"4977","眾達-KY","12768897","1478124891","123.00","123.00","112.00","113.00","-8.0000","9176"
"4989","榮科","118454","2563653","21.80","21.80","21.45","21.70","0.1500","94"
"4994","傳奇","60437","6173711","104.00","105.00","99.50","101.00","-2.0000","353"
"4999","鑫禾","152136","5309412","34.60","35.20","34.55","35.20","0.7500","154"
"5007","三星","42061","2364036","56.10","56.50","55.90","56.20","0.5000","64"
"5203","訊連","195791","18410620","95.70","95.70","92.70","93.40","-0.9000","392"
"5215","科嘉-KY","49366","2408151","49.50","49.50","48.20","48.85","-0.4000","50"
"5222","全訊","151271","20867871","138.00","138.50","137.00","137.50","0.0000","204"
"5225","東科-KY","990389","121344834","125.00","125.00","121.00","122.00","-2.5000","860"
"5234","達興材料","2590590","596078061","233.50","234.50","224.00","230.50","-2.0000","7161"
"5243","乙盛-KY","821460","51482110","64.00","64.00","61.70","61.90","-1.1000","651"
"5244","弘凱","73222","3080911","42.10","43.25","41.50","42.15","-0.3000","54"
"5258","虹堡","494659","60029538","123.00","123.50","120.00","120.00","-2.5000","448"
"5269","祥碩","1358720","2113608785","1590.00","1635.00","1500.00","1505.00","-80.0000","3388"
"5283","禾聯碩","187040","19812716","104.50","107.00","104.50","106.00","1.5000","236"
"5284","jpp-KY","199270","25492532","129.00","129.50","127.00","128.00","0.0000","190"
"5285","界霖","134147","8700296","65.40","65.40","64.20","64.40","-1.0000","311"
"5288","豐祥-KY","116925","26754759","232.00","233.00","225.00","228.00","-2.5000","163"
"5292","華懋","258429","44342838","173.50","175.00","169.00","170.50","0.0000","292"
"5306","桂盟","110273","15300257","140.00","140.00","137.50","138.00","-0.5000","225"
"5388","中磊","833711","92395694","111.50","112.00","110.00","111.00","0.0000","913"
"5434","崇越","1092340","322793041","295.00","300.00","292.00","293.00","1.0000","1285"
"5471","松翰","269658","11929792","44.55","44.55","43.90","43.90","-0.5500","242"
"5484","慧友","2495755","165263377","68.40","68.40","64.50","65.00","0.5000","2037"
"5515","建國","551588","12476548","22.45","22.75","22.35","22.60","0.2000","388"
"5519","隆大","445037","16882365","38.35","38.35","37.60","37.60","-0.7500","413"
"5521","工信","1213515","14883222","12.15","12.45","12.10","12.35","0.1000","512"
"5522","遠雄","813275","58062159","72.80","73.00","70.70","70.90","-1.3000","848"
"5525","順天","140395","4585828","32.80","33.00","32.45","32.45","-0.3000","236"
"5531","鄉林","428439","4456364","10.45","10.50","10.30","10.40","0.0000","196"
"5533","皇鼎","166994","3543451","21.35","21.35","21.10","21.15","-0.2000","114"
"5534","長虹","2391637","229285776","99.40","99.40","94.80","95.10","-3.5000","2491"
"5538","東明-KY","25755","952464","36.30","37.25","36.30","36.90","-0.1000","30"
"5546","永固-KY","33339","979398","29.15","29.60","29.15","29.45","0.2500","23"
"5607","遠雄港","265505","12173710","45.75","46.15","45.40","45.80","0.0500","269"
"5608","四維航","661355","11867787","18.15","18.15","17.85","17.90","-0.2000","593"
"5706","鳳凰","401112","24530687","61.10","61.70","60.50","61.00","0.6000","621"
"5871","中租-KY","4953478","775387444","157.00","158.00","155.50","156.50","1.5000","4642"
"5871A","中租-KY甲特","36025","3425677","95.10","95.10","95.00","95.10","0.0000","23"
"5876","上海商銀","7949411","313859343","39.15","39.65","39.10","39.65","0.6500","3983"
"5880","合庫金","12259951","316762526","25.70","25.90","25.65","25.90","0.2000","4696"
"5906","台南-KY","5050","294285","58.40","58.50","57.50","58.50","0.9000","6"
"5907","大洋-KY","1118538","13429395","11.50","12.45","11.35","12.45","0.9000","621"
"6005","群益證","2226771","49953103","22.50","22.55","22.30","22.40","0.1000","1131"
"6024","群益期","325153","18499487","56.70","57.10","56.50","57.00","0.6000","315"
"6108","競國","1092344","17378342","16.15","16.15","15.80","15.80","-0.3500","519"
"6112","邁達特","361879","17250634","48.00","48.00","47.45","47.95","0.0500","554"
"6115","鎰勝","171922","9137362","52.70","53.50","52.70","53.00","0.3000","136"
"6116","彩晶","5531538","51739639","9.30","9.45","9.25","9.29","-0.0100","1923"
"6117","迎廣","2954481","325222380","111.50","113.00","107.50","111.00","0.5000","2596"
"6120","達運","739302","10328748","14.10","14.15","13.80","13.85","-0.1500","400"
"6128","上福","214837","7940720","36.90","37.20","36.70","36.90","0.1500","140"
"6133","金橋","2407649","52223997","22.25","22.55","21.15","21.30","-0.4500","1406"
"6136","富爾特","902271","20831258","22.70","23.80","22.45","22.75","0.2500","326"
"6139","亞翔","1387786","313624347","229.00","229.50","224.00","224.50","-2.0000","2742"
"6141","柏承","186695","2433118","13.15","13.15","12.90","13.15","-0.0500","117"
"6142","友勁","2277557","26445133","12.00","12.00","11.25","11.65","-0.2500","792"
"6152","百一","1665757","26232703","15.90","16.00","15.50","16.00","0.2000","784"
"6153","嘉聯益","677915","13723220","20.50","20.50","20.15","20.15","-0.2000","543"
"6155","鈞寶","302856","8582802","28.15","28.60","27.90","28.55","0.6000","210"
"6165","浪凡","2835643","118850371","40.95","42.80","40.95","42.35","2.3000","1756"
"6166","凌華","254943","17944161","70.50","70.80","69.60","70.30","0.2000","404"
"6168","宏齊","1101771","25678223","23.75","23.75","23.10","23.15","-0.2500","652"
"6176","瑞儀","1702290","337284053","197.50","199.50","196.00","198.50","2.0000","1763"
"6177","達麗","1935104","87899619","46.25","46.25","45.15","45.25","-0.9500","1715"
"6183","關貿","72106","5624783","77.60","78.50","76.80","78.40","1.1000","100"
"6184","大豐電","70610","3637566","51.50","51.70","51.40","51.50","0.0000","72"
"6189","豐藝","552029","47132767","86.00","86.20","85.00","85.00","-1.0000","1341"
"6191","精成科","2625288","159460354","60.80","61.30","60.30","60.30","0.1000","1694"
"6192","巨路","62992","7130649","113.50","114.00","112.50","112.50","-0.5000","101"
"6196","帆宣","1073690","170097320","159.00","161.50","156.00","156.00","0.0000","1095"
"6197","佳必琪","1599668","258739127","164.50","165.00","160.00","160.00","-3.0000","2039"
"6201","亞弘電","17361","965139","55.60","56.40","55.30","55.50","-0.1000","40"
"6202","盛群","637212","34680965","55.20","55.30","53.80","53.80","-1.2000","836"
"6205","詮欣","151406","10448455","70.40","70.40","68.50","68.80","-0.4000","103"
"6206","飛捷","230531","20398545","88.90","89.20","87.90","88.10","-0.3000","809"
"6209","今國光","323904","8305286","26.05","26.10","25.45","25.45","-0.4500","217"
"6213","聯茂","9006404","665240301","76.40","76.40","72.60","72.80","-3.2000","6588"
"6214","精誠","470507","60299301","130.00","130.00","127.00","128.00","0.0000","617"
"6215","和椿","6476927","439785179","68.60","69.00","67.00","67.80","-0.2000","5785"
"6216","居易","749713","33305981","44.75","45.10","44.00","44.05","-0.7000","562"
"6224","聚鼎","1017157","75562276","75.20","75.50","73.60","73.80","-1.6000","1075"
"6225","天瀚","1340","20655","","","","","0.0000","8"
"6226","光鼎","320253","3322043","10.30","10.50","10.30","10.30","-0.2000","164"
"6230","尼得科超眾","77645","17066006","222.00","224.00","217.00","217.50","-3.5000","572"
"6235","華孚","832496","57805952","70.70","70.70","68.80","68.80","0.0000","870"
"6239","力成","2607041","353490844","138.50","138.50","134.00","134.00","-3.0000","2471"
"6243","迅杰","183542","9332309","51.80","51.80","50.30","50.30","-1.4000","300"
"6257","矽格","4046037","314499823","79.20","79.30","77.10","77.10","-1.6000","2952"
"6269","台郡","1149820","88349997","77.10","77.50","76.40","76.50","-0.1000","1048"
"6271","同欣電","561883","77692203","140.00","140.00","137.00","138.00","-1.0000","687"
"6277","宏正","36313","2851807","78.70","78.70","78.40","78.50","-0.1000","95"
"6278","台表科","1068741","117608806","110.50","111.00","109.00","110.00","0.5000","722"
"6281","全國電","34057","2838950","83.30","83.40","83.30","83.40","0.1000","65"
"6282","康舒","1667030","56622125","34.30","34.50","33.75","33.85","-0.4500","1451"
"6283","淳安","224289","6556151","29.40","29.65","28.95","28.95","-0.3500","135"
"6285","啟碁","1144196","132110460","116.00","117.00","114.50","115.00","-1.0000","1111"
"6288","聯嘉","1013925","28287550","28.50","28.50","27.65","27.65","-0.5500","816"
"6405","悅城","7203910","294198547","40.00","42.30","38.30","40.15","1.1500","4825"
"6409","旭隼","156053","316715740","2095.00","2095.00","1990.00","2010.00","-105.0000","593"
"6412","群電","413855","53154659","129.00","130.00","127.00","128.50","0.0000","485"
"6414","樺漢","988827","299489684","300.00","306.00","300.00","300.00","0.5000","1929"
"6415","矽力*-KY","2038218","1040743479","517.00","524.00","504.00","508.00","-7.0000","1943"
"6416","瑞祺電通","589334","94680371","159.50","162.50","158.00","161.50","2.5000","989"
"6423","億而得-創","28300","2567390","90.70","91.30","90.40","91.30","0.5000","23"
"6426","統新","701378","55485106","80.20","80.50","78.50","78.50","-1.6000","802"
"6431","光麗-KY","153012","2765124","18.20","18.30","17.90","18.20","0.0000","72"
"6438","迅得","13220806","2728839128","198.00","213.00","196.00","213.00","19.0000","13599"
"6442","光聖","5142010","2259487620","435.00","449.50","428.50","440.50","8.5000","5158"
"6443","元晶","3933280","88431130","23.05","23.05","22.35","22.35","-0.5000","1674"
"6446","藥華藥","1665240","1048095926","622.00","639.00","620.00","624.00","10.0000","2398"
"6449","鈺邦","914828","147175845","164.00","164.00","159.00","160.50","-2.0000","960"
"6451","訊芯-KY","14661166","3567918940","242.50","250.00","233.00","240.50","1.5000","19327"
"6456","GIS-KY","492053","28066690","57.30","57.40","56.70","57.00","-0.3000","571"
"6464","台數科","30601","2421509","79.20","79.50","78.80","79.20","0.0000","39"
"6472","保瑞","409543","304447556","745.00","751.00","738.00","741.00","-3.0000","1268"
"6477","安集","262624","8838267","34.20","34.20","33.30","33.40","-0.5500","284"
"6491","晶碩","639222","259116772","417.00","417.00","401.00","403.50","-9.5000","1464"
"6504","南六","39220","2751450","70.70","70.70","69.80","70.00","-0.2000","59"
"6505","台塑化","5136779","258936317","49.65","50.80","49.60","50.40","0.7500","3027"
"6515","穎崴","958548","1190873150","1265.00","1275.00","1210.00","1215.00","-35.0000","1479"
"6525","捷敏-KY","693283","50319193","73.70","74.30","71.50","71.60","-1.7000","1011"
"6526","達發","306262","193963437","636.00","642.00","626.00","630.00","-2.0000","760"
"6531","愛普*","1616778","491089717","312.00","312.50","300.00","300.00","-8.5000","2412"
"6533","晶心科","505204","199275007","402.00","404.00","390.00","392.00","-6.0000","852"
"6534","正瀚-創","13000","1048000","81.40","81.40","80.30","80.40","0.4000","13"
"6541","泰福-KY","52018","3530060","67.50","68.20","67.20","68.20","0.6000","115"
"6550","北極星藥業-KY","498418","25173339","51.20","51.20","50.10","50.30","-0.7000","445"
"6552","易華電","223543","10100233","46.20","46.20","44.40","44.90","-1.2500","291"
"6558","興能高","203856","4487734","22.20","22.30","21.90","21.90","-0.4000","156"
"6573","虹揚-KY","213107","3537154","16.80","16.80","16.40","16.75","0.0000","170"
"6579","研揚","121879","17979712","149.50","149.50","146.00","146.00","-2.0000","416"
"6581","鋼聯","56940","6839088","119.50","121.00","119.00","119.50","1.0000","86"
"6582","申豐","107782","6729059","63.30","63.30","61.80","61.90","-1.2000","151"
"6585","鼎基","141254","20988263","149.00","150.00","148.00","148.00","-0.5000","175"
"6591","動力-KY","143919","7258942","50.70","50.90","49.95","49.95","-0.4500","197"
"6592","和潤企業","356964","33647403","93.80","94.70","93.70","94.30","0.7000","390"
"6592A","和潤企業甲特","2077","197191","94.90","95.00","94.90","95.00","0.0000","4"
"6592B","和潤企業乙特","38129","3638606","95.50","95.50","95.40","95.50","0.1000","22"
"6598","ABC-KY","240911","5459724","22.80","23.15","22.30","22.40","-0.3500","238"
"6605","帝寶","496925","121990079","247.50","248.00","243.50","244.00","-3.5000","922"
"6606","建德工業","159288","4457838","28.30","28.35","27.70","27.75","-0.6500","153"
"6625","必應","310429","28697444","91.80","93.90","90.50","92.30","0.6000","607"
"6641","基士德-KY","17628","717447","40.60","40.75","40.60","40.75","-0.5500","26"
"6645","金萬林-創","24676","660195","27.10","27.25","26.50","26.80","0.1500","31"
"6655","科定","10021","1320772","132.00","132.50","131.50","131.50","-0.5000","22"
"6657","華安","35825","1874265","52.80","52.90","52.00","52.30","-0.4000","36"
"6658","聯策","7579223","715587629","96.90","97.10","91.50","93.50","-1.8000","5653"
"6666","羅麗芬-KY","41028","2531523","62.00","62.10","61.20","61.70","-0.4000","57"
"6668","中揚光","551692","27232107","50.60","50.70","48.80","48.80","-1.3000","604"
"6669","緯穎","1498688","2932509860","1980.00","1995.00","1920.00","1935.00","-15.0000","3827"
"6670","復盛應用","854644","247549966","282.00","294.50","281.00","294.00","12.0000","1295"
"6671","三能-KY","44120","1897416","43.00","43.05","43.00","43.00","-0.1000","24"
"6672","騰輝電子-KY","95368","6670248","70.50","70.60","69.40","69.50","-1.0000","177"
"6674","鋐寶科技","5000","122500","24.60","24.60","24.45","24.45","-0.3000","5"
"6689","伊雲谷","212196","20300525","96.80","97.00","94.90","95.10","-1.4000","277"
"6691","洋基工程","355179","112061002","319.50","321.00","311.50","314.00","-4.0000","592"
"6695","芯鼎","600410","34338836","59.30","59.30","56.30","56.30","-2.2000","589"
"6698","旭暉應材","1301489","54716692","41.50","43.50","40.65","41.30","0.1000","1221"
"6706","惠特","6141177","1041226259","171.50","175.00","164.00","168.00","-2.0000","5927"
"6715","嘉基","477737","91272570","192.00","195.50","188.00","188.50","-5.5000","679"
"6719","力智","476649","120531610","257.00","257.50","250.00","250.50","-6.0000","863"
"6742","澤米","3492475","266867673","76.70","78.00","75.00","75.80","-1.2000","3345"
"6743","安普新","557110","29508876","53.70","53.90","52.30","52.30","-0.5000","427"
"6753","龍德造船","451012","52231622","117.00","117.00","115.00","115.50","-1.0000","589"
"6754","匯僑設計","72111","4973070","69.30","69.70","68.40","68.60","-0.1000","121"
"6756","威鋒電子","104717","17307485","168.00","168.00","163.50","164.00","-3.0000","395"
"6757","台灣虎航-創","877765","50564605","57.80","58.40","57.10","57.30","-0.8000","516"
"6768","志強-KY","1588599","178869933","111.50","115.50","106.50","112.50","0.0000","1284"
"6770","力積電","11260228","225506483","20.40","20.40","19.90","19.90","-0.4000","6472"
"6771","平和環保-創","12050","760550","63.30","63.40","63.00","63.00","-0.4000","13"
"6776","展碁國際","75109","4247204","56.70","56.90","56.10","56.30","-0.5000","80"
"6781","AES-KY","91830","49596171","545.00","547.00","530.00","530.00","-9.0000","213"
"6782","視陽","805267","176120569","223.00","224.50","217.00","218.00","-4.5000","1524"
"6789","采鈺","1509199","449946705","304.50","307.50","291.00","291.00","-7.5000","2042"
"6790","永豐實","115525","5560805","48.00","48.45","47.85","48.25","0.5000","120"
"6792","詠業","23003","1500296","65.40","65.40","65.00","65.00","-0.2000","23"
"6794","向榮生技-創","11130","843532","76.80","76.80","74.60","76.40","-0.3000","12"
"6796","晉弘","32663","2696897","81.70","83.40","81.70","83.00","1.4000","77"
"6799","來頡","511125","57030562","115.00","118.00","108.50","108.50","-5.5000","552"
"6805","富世達","2125675","1901803259","887.00","912.00","874.00","892.00","7.0000","4550"
"6806","森崴能源","851367","105884078","126.50","127.50","123.00","124.00","-1.5000","1252"
"6807","峰源-KY","56268","4281960","75.40","76.70","75.40","76.30","1.0000","73"
"6830","汎銓","4304192","924485708","219.00","220.00","209.00","211.50","-1.5000","3561"
"6834","天二科技","224702","8286703","37.25","37.45","36.60","36.60","-0.6000","191"
"6835","圓裕","233604","12209643","53.10","53.10","51.20","51.40","-1.7000","286"
"6838","台新藥","358357","15827230","44.55","44.60","43.85","44.10","-0.4000","273"
"6854","錼創科技-KY創","740339","107951333","141.50","151.00","139.00","148.50","7.0000","490"
"6861","睿生光電","57489","3716636","64.30","65.00","64.20","64.60","0.3000","89"
"6863","永道-KY","1062282","291834519","281.50","281.50","271.00","273.50","-6.5000","1431"
"6869","雲豹能源","1392032","303838499","222.50","222.50","217.00","217.00","-4.0000","1890"
"6873","泓德能源","1010553","243181440","247.00","247.50","238.00","238.50","-4.5000","1224"
"6890","來億-KY","2336766","953706466","395.00","422.50","392.50","407.00","15.5000","3554"
"6901","鑽石投資","281890","10802074","38.30","38.65","38.05","38.40","0.2000","240"
"6902","走著瞧-創","29720","4955420","164.00","170.00","161.50","164.00","0.0000","30"
"6906","現觀科","573628","103836665","183.00","183.50","179.00","180.50","0.5000","1014"
"6914","阜爾運通","15181","2094731","137.50","138.50","137.50","138.00","0.5000","58"
"6916","華凌","75000","1922400","25.60","26.05","25.50","25.60","0.0500","29"
"6919","康霈*","353359","171159707","485.00","493.00","475.00","485.00","0.0000","897"
"6923","中台","127497","11064645","87.00","87.10","86.20","87.00","-0.1000","114"
"6928","攸泰科技","57390","3563682","62.00","63.80","61.20","61.50","-0.5000","90"
"6933","AMAX-KY","574005","156460464","278.50","283.50","265.00","268.50","-5.5000","1628"
"6937","天虹","4319729","1516473203","345.00","361.00","340.00","343.00","6.0000","4676"
"6949","沛爾生醫-創","27029","2528228","92.80","94.50","92.80","94.10","0.4000","17"
"6951","青新-創","110555","6855286","61.70","62.20","61.70","62.10","0.8000","70"
"6952","大武山","68134","3266766","48.60","48.60","47.45","47.90","-0.3000","86"
"6957","裕慶-KY","102282","25015017","247.50","248.50","242.50","244.00","-3.5000","537"
"6958","日盛台駿","209065","6347503","30.25","30.75","30.20","30.45","-0.0500","143"
"6969","成信實業*-創","112000","7236000","67.60","67.70","62.80","63.00","-2.0000","72"
"8011","台通","2128871","57331457","27.45","27.55","26.70","26.70","-0.5500","1359"
"8016","矽創","272113","63646179","236.00","236.00","232.00","232.00","-2.5000","875"
"8021","尖點","1848914","68357371","37.25","37.30","36.70","37.00","-0.2000","1454"
"8028","昇陽半導體","75004592","10805657120","144.50","153.00","134.50","134.50","-5.5000","48444"
"8033","雷虎","1048191","60323060","58.30","58.40","57.20","57.20","-1.0000","934"
"8039","台虹","2155993","118401215","55.80","55.80","54.50","54.60","-0.9000","1752"
"8046","南電","1247196","168826879","138.00","138.00","133.00","133.50","-3.0000","1730"
"8070","長華*","4046651","238564411","59.90","60.00","58.20","58.70","-0.7000","2706"
"8072","陞泰","64313","1734036","26.85","27.20","26.70","26.80","-0.0500","100"
"8081","致新","284928","66329737","234.50","234.50","231.00","231.00","-2.5000","548"
"8103","瀚荃","1108749","62149498","56.10","56.60","55.30","56.40","0.3000","881"
"8104","錸寶","835127","37973680","46.70","46.75","45.10","45.25","-1.0000","906"
"8105","凌巨","1962871","33810402","17.45","17.45","17.05","17.10","-0.2500","1014"
"8110","華東","2008351","33038284","16.75","16.75","16.25","16.30","-0.3500","1013"
"8112","至上","1746634","119644333","69.00","69.10","67.80","68.10","-0.3000","1586"
