證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1524","耿鼎","2131988","74910012","35.65","35.70","34.70","34.75","-0.8000","1517"
"1525","江申","24311","1702023","71.70","71.70","69.30","69.60","-1.3000","31"
"1526","日馳","21694","601252","28.00","28.00","27.60","27.70","-0.1000","47"
"1527","鑽全","290323","12905476","44.25","44.75","44.15","44.40","0.1500","275"
"1528","恩德","23575329","392602814","16.85","17.25","16.05","16.50","-0.2500","9536"
"1529","樂事綠能","409595","11445256","28.15","28.15","27.85","27.85","-0.1500","397"
"1530","亞崴","165212","5447063","33.00","33.40","32.60","32.90","0.3000","161"
"1531","高林股","100056","1467459","14.90","14.90","14.55","14.60","-0.1500","134"
"1532","勤美","1493002","56187903","38.00","38.00","37.30","37.50","0.1500","682"
"1533","車王電","141154","6171896","44.20","45.25","43.40","43.40","-0.7000","280"
"1535","中宇","123506","7740969","62.10","63.00","62.10","62.50","0.4000","166"
"1536","和大","14404598","841993477","60.30","60.40","56.80","57.70","-0.9000","10035"
"1537","廣隆","161998","24274914","151.50","151.50","148.50","149.50","-0.5000","193"
"1538","正峰","15482","274139","18.55","18.55","17.30","17.80","-0.1500","41"
"1539","巨庭","1240763","36326200","29.60","29.80","28.90","29.00","-0.6000","959"
"1540","喬福","71897012","3371619198","46.55","48.50","44.80","45.20","-0.6000","38493"
"1541","錩泰","6060","190849","31.65","31.65","31.40","31.40","0.0000","6"
"1558","伸興","62807","6882501","110.50","110.50","109.00","109.00","-1.5000","743"
"1560","中砂","13959672","5299690957","386.00","398.00","361.50","363.50","-11.0000","13628"
"1563","巧新","350150","20464923","59.50","59.50","58.10","58.20","-0.9000","357"
"1568","倉佑","101985","2909134","28.70","28.80","28.30","28.50","-0.2000","133"
"1582","信錦","895931","88745322","99.20","99.60","98.50","99.20","0.4000","794"
"1583","程泰","37393","2293175","61.30","61.60","61.10","61.50","0.4000","42"
"1587","吉茂","412593","17865390","44.25","44.25","42.80","42.80","-1.1000","497"
"1589","永冠-KY","228807","9481411","41.40","41.75","41.05","41.50","-0.5500","379"
"1590","亞德客-KY","511064","466728070","930.00","942.00","901.00","910.00","-3.0000","923"
"1597","直得","11950173","1246947386","106.50","108.00","101.50","101.50","-3.5000","8333"
"1598","岱宇","176990","4940081","28.40","28.40","27.65","27.95","-0.3000","241"
"1603","華電","889341","31574501","35.65","36.00","35.05","35.05","-0.5500","548"
"1604","聲寶","121477","3460243","28.50","28.60","28.35","28.45","-0.2000","137"
"1605","華新","8076968","258255884","32.35","32.35","31.80","31.80","-0.2500","4746"
"1608","華榮","1292487","39276217","30.80","30.80","30.15","30.20","-0.5000","861"
"1609","大亞","3733594","176290417","47.80","47.80","47.00","47.00","-0.4500","3261"
"1611","中電","442249","7411657","16.90","16.95","16.70","16.70","-0.1500","288"
"1612","宏泰","428461","14584730","34.25","34.30","33.90","33.90","-0.2500","419"
"1614","三洋電","62357","2525311","40.35","40.85","40.20","40.45","0.4000","64"
"1615","大山","98724","5950996","60.70","60.70","60.00","60.10","-0.1000","128"
"1616","億泰","857855","19470678","23.50","23.50","22.05","22.05","-0.3000","474"
"1617","榮星","221307","4480683","20.70","20.70","20.10","20.15","-0.2000","160"
"1618","合機","744363","31167028","42.50","42.70","41.40","41.40","-0.8000","829"
"1626","艾美特-KY","59091","947473","16.05","16.20","15.95","16.00","-0.0500","92"
"1702","南僑","934564","53059904","57.10","57.30","56.20","56.70","-0.3000","1135"
"1707","葡萄王","253148","38488177","153.00","153.00","151.00","152.00","0.0000","550"
"1708","東鹼","1242287","48557318","39.35","39.35","38.70","39.30","0.1000","935"
"1709","和益","575844","13273996","23.15","23.25","22.90","23.00","-0.1500","460"
"1710","東聯","604519","10910857","18.20","18.20","17.90","18.05","-0.1000","443"
"1711","永光","24859573","641019429","25.60","26.45","25.15","25.65","0.4500","11655"
"1712","興農","326925","13741504","41.50","42.35","41.50","42.10","-0.1000","312"
"1713","國化","42383","2134064","50.50","50.80","50.00","50.30","-0.2000","45"
"1714","和桐","1116865","9554922","8.57","8.61","8.52","8.53","-0.0400","567"
"1717","長興","2491190","80561182","32.50","32.70","32.15","32.15","-0.0500","1244"
"1718","中纖","1317176","10401360","7.91","7.94","7.85","7.91","0.0000","836"
"1720","生達","306042","19914433","65.50","65.50","64.80","64.90","-0.6000","284"
"1721","三晃","22310298","497445617","21.85","23.10","21.30","22.15","0.3500","10874"
"1722","台肥","1236343","72228661","58.60","58.90","57.90","58.50","-0.1000","912"
"1723","中碳","184514","18255361","99.30","99.40","98.50","98.80","0.3000","452"
"1725","元禎","66310","2681176","41.45","41.45","40.10","40.10","-0.1500","72"
"1726","永記","14090","1109662","79.00","79.00","78.30","78.30","0.2000","25"
"1727","中華化","9075082","361390001","38.70","40.70","38.20","40.05","1.8000","5351"
"1730","花仙子","25046","1332099","53.20","53.30","53.10","53.10","0.0000","42"
"1731","美吾華","57851","1372903","23.60","23.80","23.60","23.75","0.1500","52"
"1732","毛寶","146552","4067065","28.25","28.25","27.55","27.55","-0.4500","116"
"1733","五鼎","65588","1930855","29.35","29.55","29.35","29.40","-0.0500","72"
"1734","杏輝","280647","8662785","31.00","31.00","30.75","30.80","-0.1000","354"
"1735","日勝化","814689","18197716","21.40","23.25","21.25","23.25","2.1000","516"
"1736","喬山","556977","83137790","148.50","151.00","146.50","150.50","2.0000","513"
"1737","臺鹽","187553","6369408","33.95","34.15","33.85","33.90","-0.0500","186"
"1752","南光","62797","2721005","43.50","43.55","43.20","43.40","0.1000","66"
