"統計期","捷運站別","進站人次","出站人次"
"111年","頭前庄",1012695,1272832
"111年","先嗇宮",1331585,1293874
"111年","三重",2087118,2099665
"111年","菜寮",2892634,2876268
"111年","台北橋",2851167,2931911
"111年","大橋頭",3808318,3367893
"111年","民權西路O",2600755,2223741
"111年","中山國小",4646594,4653008
"111年","行天宮",7334863,7497573
"111年","松江南京O",7724941,8633334
"111年","忠孝新生O",1790384,1824852
"111年","東門",6310281,6443076
"111年","蘆洲",4093741,3763431
"111年","三民高中",3394146,3467825
"111年","徐匯中學",3445098,3608552
"111年","三和國中",3514501,3394198
"111年","三重國小",3328753,3385830
"111年","迴龍",3129186,2947426
"111年","丹鳳",2806513,2543097
"111年","大坪林Y",1016474,1122072
"111年","十四張",455146,409245
"111年","秀朗橋",745241,771471
"111年","景平",1096038,1196667
"111年","景安Y",0,1086273
"111年","中和",1444707,1464467
"111年","橋和",697502,692319
"111年","中原",959343,959035
"111年","板新",848651,856439
"111年","板橋Y",2646772,2585682
"111年","新埔民生",643815,707067
"111年","頭前庄Y",733871,436942
"111年","幸福",1093752,1192338
"111年","新北產業園區",1401606,1429831
"111年","團體票",115602,115602
"111年","其他",124688,124688
"112年","松山機場",1657093,1624842
"112年","中山國中",4345959,4383145
"112年","南京復興BR",4363759,4454876
"112年","忠孝復興BR",1725548,2152219
"112年","大安BR",4771458,4751137
"112年","科技大樓",4611864,4427157
"112年","六張犁",3508617,3479896
"112年","麟光",1454218,1380525
"112年","辛亥",1130678,1073225
"112年","萬芳醫院",3772702,4021859
"112年","萬芳社區",851312,666243
"112年","木柵",1352183,1409208
"112年","動物園",2371951,2425238
"112年","大直",2856752,2868899
"112年","劍南路",4182000,4151411
"112年","西湖",4617996,4645347
"112年","港墘",5320752,5153804
"112年","文德",1881721,1814110
"112年","內湖",3278514,3251752
"112年","大湖公園",1235272,1200359
"112年","葫洲",2704668,2706524
"112年","東湖",2749827,2822946
"112年","南港軟體園區",2016514,1912213
"112年","南港展覽館BR",5509887,4438655
"112年","小碧潭",1198226,1245403
"112年","新店",4454686,3956349
"112年","新店區公所",4075683,4203652
"112年","七張",5139840,5196189
"112年","大坪林",6667679,6419750
"112年","景美",5444989,5455758
"112年","萬隆",3407374,3307874
"112年","公館",9277247,8921839
"112年","台電大樓",5406010,5351862
"112年","古亭",10291992,10246890
"112年","中正紀念堂",8958034,8801972
"112年","小南門",3068350,3108043
"112年","頂溪",11218427,11511237
"112年","永安市場",8137097,8378140
"112年","景安",8311119,6862739
"112年","南勢角",6712937,6486329
"112年","台大醫院",6832161,7089321
"112年","台北車站BL",20074682,17419759
"112年","台北車站R",29344627,31120887
"112年","中山R",12988688,13435623
"112年","雙連",6913658,7315430
"112年","民權西路R",4347666,4638963
"112年","圓山",9346805,9546668
"112年","劍潭",9621644,9588649
"112年","士林",9459588,9363547
"112年","芝山",7680774,7735591
"112年","明德",4118922,4021662
"112年","石牌",9528210,9722166
"112年","唭哩岸",2451151,2298956
"112年","奇岩",2928700,2591674
"112年","北投",6059939,6412599
"112年","新北投",2097113,1975281
"112年","復興崗",1293839,1298505
"112年","忠義",993786,995316
"112年","關渡",4116517,4220321
"112年","竹圍",3074609,3210298
"112年","紅樹林",4049863,4551245
"112年","淡水",12444935,11365105
"112年","頂埔",3115818,2960259
"112年","永寧",4386203,4419003
"112年","土城",2779663,2727494
"112年","海山",7316501,7426495
"112年","亞東醫院",8046337,7335424
"112年","府中",10086699,9069066
"112年","板橋",13314080,14460554
"112年","新埔",12593570,12200573
"112年","江子翠",8784061,9022489
"112年","龍山寺",9627095,9410448
"112年","西門",23013237,23484600
"112年","善導寺",7275608,7444765
"112年","忠孝新生BL",9459123,9335606
"112年","忠孝復興BL",13459159,12747869
"112年","忠孝敦化",10901276,11434484
"112年","國父紀念館",7347853,7777943
"112年","市政府",21160755,21790831
"112年","永春",6581008,6621914
"112年","後山埤",5385507,5400978
"112年","昆陽",4473532,4519508
"112年","南港",7378123,7679861
"112年","南港展覽館BL",4704123,5184035
"112年","象山",4447004,4207392
"112年","台北101/世貿",11023866,11141555
"112年","信義安和",6073189,6350591
"112年","大安R",3045485,3149317
"112年","大安森林公園",3353417,3165226
"112年","北門",4813510,4788911
"112年","中山G",3232464,3164251
"112年","松江南京G",2145151,1425111
"112年","南京復興G",8421378,9092053
"112年","台北小巨蛋",7058289,7364609
"112年","南京三民",7470890,7687414
"112年","松山",8371373,8085802
"112年","輔大",3436602,3662668
"112年","新莊",3612335,3699271
"112年","頭前庄",1120100,1504528
"112年","先嗇宮",1556365,1518009
"112年","三重",2681101,2681950
"112年","菜寮",3346367,3301695
"112年","台北橋",3456079,3549626
"112年","大橋頭",4582147,4111488
"112年","民權西路O",3164091,2718401
"112年","中山國小",5655164,5650230
